urn,group,author,title
urn:cts:greekLit:tlg0057.tlg044,urn:cts:greekLit:tlg0057,Galen,De symptomatum causis
urn:cts:greekLit:tlg0057.tlg045,urn:cts:greekLit:tlg0057,Galen,De differentiis febrium
urn:cts:greekLit:tlg0057.tlg046,urn:cts:greekLit:tlg0057,Galen,De morborum temporibus
urn:cts:greekLit:tlg0057.tlg047,urn:cts:greekLit:tlg0057,Galen,De totius morbi temporibus
urn:cts:greekLit:tlg0057.tlg048,urn:cts:greekLit:tlg0057,Galen,De typis
urn:cts:greekLit:tlg0057.tlg049,urn:cts:greekLit:tlg0057,Galen,Adversus eos qui de typis scripserunt vel de circuitibus
urn:cts:greekLit:tlg0057.tlg050,urn:cts:greekLit:tlg0057,Galen,De plenitudine
urn:cts:greekLit:tlg0057.tlg051,urn:cts:greekLit:tlg0057,Galen,"De tremore, palpitatione, convulsione et rigore"
urn:cts:greekLit:tlg0057.tlg052,urn:cts:greekLit:tlg0057,Galen,De comate secundum Hippocratem
urn:cts:greekLit:tlg0057.tlg053,urn:cts:greekLit:tlg0057,Galen,De marcore
urn:cts:greekLit:tlg0057.tlg054,urn:cts:greekLit:tlg0057,Galen,De tumoribus praeter naturam
urn:cts:greekLit:tlg0057.tlg055,urn:cts:greekLit:tlg0057,Galen,De inaequali intemperie
urn:cts:greekLit:tlg0057.tlg056,urn:cts:greekLit:tlg0057,Galen,De difficultate respirationis
urn:cts:greekLit:tlg0057.tlg057,urn:cts:greekLit:tlg0057,Galen,De locis affectis
urn:cts:greekLit:tlg0057.tlg058,urn:cts:greekLit:tlg0057,Galen,De pulsibus ad tirones
urn:cts:greekLit:tlg0057.tlg059,urn:cts:greekLit:tlg0057,Galen,De differentiis pulsuum
urn:cts:greekLit:tlg0057.tlg060,urn:cts:greekLit:tlg0057,Galen,De dignoscendis pulsibus
urn:cts:greekLit:tlg0057.tlg061,urn:cts:greekLit:tlg0057,Galen,De causis pulsuum
urn:cts:greekLit:tlg0057.tlg062,urn:cts:greekLit:tlg0057,Galen,De praesagitione ex pulsibus
urn:cts:greekLit:tlg0057.tlg063,urn:cts:greekLit:tlg0057,Galen,Synopsis librorum suorum de pulsibus
urn:cts:greekLit:tlg0057.tlg064,urn:cts:greekLit:tlg0057,Galen,De crisibus
urn:cts:greekLit:tlg0057.tlg065,urn:cts:greekLit:tlg0057,Galen,De diebus decretoriis
urn:cts:greekLit:tlg0057.tlg066,urn:cts:greekLit:tlg0057,Galen,De methodo medendi
urn:cts:greekLit:tlg0057.tlg067,urn:cts:greekLit:tlg0057,Galen,Ad Glauconem de methodo medendi
urn:cts:greekLit:tlg0057.tlg068,urn:cts:greekLit:tlg0057,Galen,De venae sectione adversus Erasistratum
urn:cts:greekLit:tlg0057.tlg069,urn:cts:greekLit:tlg0057,Galen,De venae sectione adversus Erasistrateos Romae degentes
urn:cts:greekLit:tlg0057.tlg070,urn:cts:greekLit:tlg0057,Galen,De curandi ratione per venae sectionem
urn:cts:greekLit:tlg0057.tlg071,urn:cts:greekLit:tlg0057,Galen,"De hirudinibus, revulsione, cucurbitula, incisione et scarificatione"
urn:cts:greekLit:tlg0057.tlg072,urn:cts:greekLit:tlg0057,Galen,De purgantium medicamentorum facultate
urn:cts:greekLit:tlg0057.tlg073,urn:cts:greekLit:tlg0057,Galen,Quos quibus catharticis medicamentis et quando purgare oporteat
urn:cts:greekLit:tlg0057.tlg074,urn:cts:greekLit:tlg0057,Galen,Pro puero epileptico consilium
urn:cts:greekLit:tlg0057.tlg075,urn:cts:greekLit:tlg0057,Galen,De simplicium medicamentorum temperamentis ac facultatibus I-VI
urn:cts:greekLit:tlg0057.tlg076,urn:cts:greekLit:tlg0057,Galen,De compositione medicamentorum secundum locos libri X
urn:cts:greekLit:tlg0057.tlg077,urn:cts:greekLit:tlg0057,Galen,De compositione medicamentorum per genera
urn:cts:greekLit:tlg0057.tlg078,urn:cts:greekLit:tlg0057,Galen,De antidotis
urn:cts:greekLit:tlg0057.tlg079,urn:cts:greekLit:tlg0057,Galen,De theriaca ad Pisonem
urn:cts:greekLit:tlg0057.tlg081,urn:cts:greekLit:tlg0057,Galen,Institutio logica
urn:cts:greekLit:tlg0057.tlg082,urn:cts:greekLit:tlg0057,Galen,De sophismatis seu captionibus penes dictionem
urn:cts:greekLit:tlg0057.tlg083,urn:cts:greekLit:tlg0057,Galen,De praenotione ad Epigenem
urn:cts:greekLit:tlg0057.tlg084,urn:cts:greekLit:tlg0057,Galen,De substantia facultatum naturalium fragmentum
urn:cts:greekLit:tlg0057.tlg085,urn:cts:greekLit:tlg0057,Galen,In Hippocratis De natura hominis
urn:cts:greekLit:tlg0057.tlg086,urn:cts:greekLit:tlg0057,Galen,In Hippocratis vel Polybi Opus de Salubri Victus Ratione Privatorum Commentarius
urn:cts:greekLit:tlg0057.tlg087,urn:cts:greekLit:tlg0057,Galen,In Hippocratis De victu acutorum
urn:cts:greekLit:tlg0057.tlg089,urn:cts:greekLit:tlg0057,Galen,In Hippocratis Epidemiarum I
urn:cts:greekLit:tlg0057.tlg092,urn:cts:greekLit:tlg0057,Galen,In Hippocratis Aphorismos Commentarii VII
urn:cts:greekLit:tlg0057.tlg093,urn:cts:greekLit:tlg0057,Galen,Adversus Lycum
urn:cts:greekLit:tlg0057.tlg094,urn:cts:greekLit:tlg0057,Galen,Adversus ea quae Juliano in Hippocratis Aphorismos enuntiata sunt
urn:cts:greekLit:tlg0057.tlg095,urn:cts:greekLit:tlg0057,Galen,In Hippocratis De articulis
urn:cts:greekLit:tlg0057.tlg096,urn:cts:greekLit:tlg0057,Galen,De Humero iis Modis Prolapso quos Hippocrates non Vidit
urn:cts:greekLit:tlg0057.tlg099,urn:cts:greekLit:tlg0057,Galen,In Hippocratis Prognosticum
urn:cts:greekLit:tlg0057.tlg100,urn:cts:greekLit:tlg0057,Galen,In Hippocratis De fracturis
urn:cts:greekLit:tlg0057.tlg101,urn:cts:greekLit:tlg0057,Galen,In Hippocratis De officina medici
urn:cts:greekLit:tlg0057.tlg102,urn:cts:greekLit:tlg0057,Galen,De musculorum dissectione ad tirones
urn:cts:greekLit:tlg0057.tlg103,urn:cts:greekLit:tlg0057,Galen,De consuetudinibus
urn:cts:greekLit:tlg0057.tlg107,urn:cts:greekLit:tlg0057,Galen,De experientia medica
urn:cts:greekLit:tlg0057.tlg114,urn:cts:greekLit:tlg0057,Galen,De causis respirationis
urn:cts:greekLit:tlg0058.tlg001,urn:cts:greekLit:tlg0058,Aeneas Tacticus,Poliorcetica
urn:cts:greekLit:tlg0059.tlg001,urn:cts:greekLit:tlg0059,Plato,Euthyphro
urn:cts:greekLit:tlg0059.tlg002,urn:cts:greekLit:tlg0059,Plato,Apology
urn:cts:greekLit:tlg0059.tlg003,urn:cts:greekLit:tlg0059,Plato,Crito
urn:cts:greekLit:tlg0059.tlg004,urn:cts:greekLit:tlg0059,Plato,Phaedo
urn:cts:greekLit:tlg0059.tlg005,urn:cts:greekLit:tlg0059,Plato,Cratylus
urn:cts:greekLit:tlg0059.tlg006,urn:cts:greekLit:tlg0059,Plato,Theaetetus
urn:cts:greekLit:tlg0059.tlg007,urn:cts:greekLit:tlg0059,Plato,Sophist
urn:cts:greekLit:tlg0059.tlg008,urn:cts:greekLit:tlg0059,Plato,Statesman
urn:cts:greekLit:tlg0059.tlg009,urn:cts:greekLit:tlg0059,Plato,Parmenides
urn:cts:greekLit:tlg0059.tlg010,urn:cts:greekLit:tlg0059,Plato,Philebus
urn:cts:greekLit:tlg0059.tlg011,urn:cts:greekLit:tlg0059,Plato,Symposium
urn:cts:greekLit:tlg0059.tlg012,urn:cts:greekLit:tlg0059,Plato,Phaedrus
urn:cts:greekLit:tlg0059.tlg013,urn:cts:greekLit:tlg0059,Plato,Alcibiades 1
urn:cts:greekLit:tlg0059.tlg014,urn:cts:greekLit:tlg0059,Plato,Alcibiades 2
urn:cts:greekLit:tlg0059.tlg015,urn:cts:greekLit:tlg0059,Plato,Hipparchus
urn:cts:greekLit:tlg0059.tlg016,urn:cts:greekLit:tlg0059,Plato,Lovers
urn:cts:greekLit:tlg0059.tlg017,urn:cts:greekLit:tlg0059,Plato,Theages
urn:cts:greekLit:tlg0059.tlg018,urn:cts:greekLit:tlg0059,Plato,Charmides
urn:cts:greekLit:tlg0059.tlg019,urn:cts:greekLit:tlg0059,Plato,Laches
urn:cts:greekLit:tlg0059.tlg020,urn:cts:greekLit:tlg0059,Plato,Lysis
urn:cts:greekLit:tlg0059.tlg021,urn:cts:greekLit:tlg0059,Plato,Euthydemus
urn:cts:greekLit:tlg0059.tlg022,urn:cts:greekLit:tlg0059,Plato,Protagoras
urn:cts:greekLit:tlg0059.tlg023,urn:cts:greekLit:tlg0059,Plato,Gorgias
urn:cts:greekLit:tlg0059.tlg024,urn:cts:greekLit:tlg0059,Plato,Meno
urn:cts:greekLit:tlg0059.tlg025,urn:cts:greekLit:tlg0059,Plato,Hippias Major
urn:cts:greekLit:tlg0059.tlg026,urn:cts:greekLit:tlg0059,Plato,Hippias Minor
urn:cts:greekLit:tlg0059.tlg027,urn:cts:greekLit:tlg0059,Plato,Ion
urn:cts:greekLit:tlg0059.tlg028,urn:cts:greekLit:tlg0059,Plato,Menexenus
urn:cts:greekLit:tlg0059.tlg029,urn:cts:greekLit:tlg0059,Plato,Cleitophon
urn:cts:greekLit:tlg0059.tlg030,urn:cts:greekLit:tlg0059,Plato,Republic
urn:cts:greekLit:tlg0059.tlg031,urn:cts:greekLit:tlg0059,Plato,Timaeus
urn:cts:greekLit:tlg0059.tlg032,urn:cts:greekLit:tlg0059,Plato,Critias
urn:cts:greekLit:tlg0059.tlg033,urn:cts:greekLit:tlg0059,Plato,Minos
urn:cts:greekLit:tlg0059.tlg034,urn:cts:greekLit:tlg0059,Plato,Laws
urn:cts:greekLit:tlg0059.tlg035,urn:cts:greekLit:tlg0059,Plato,Epinomis
urn:cts:greekLit:tlg0059.tlg036,urn:cts:greekLit:tlg0059,Plato,Epistles
urn:cts:greekLit:tlg0059.tlg037,urn:cts:greekLit:tlg0059,Plato,Definitiones
urn:cts:greekLit:tlg0060.tlg001,urn:cts:greekLit:tlg0060,Diodorus Siculus,Historical Library
urn:cts:greekLit:tlg0061.tlg001,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Asinus
urn:cts:greekLit:tlg0061.tlg002,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Amores
urn:cts:greekLit:tlg0061.tlg003,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Demosthenis encomium
urn:cts:greekLit:tlg0061.tlg004,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Halcyon
urn:cts:greekLit:tlg0061.tlg005,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Ocypus
urn:cts:greekLit:tlg0061.tlg006,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Cynicus
urn:cts:greekLit:tlg0061.tlg007,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Philopatris
urn:cts:greekLit:tlg0061.tlg008,urn:cts:greekLit:tlg0061,Pseudo-Lucian,Charidemus
urn:cts:greekLit:tlg0062.tlg001,urn:cts:greekLit:tlg0062,Lucian of Samosata,Phalaris
urn:cts:greekLit:tlg0062.tlg002,urn:cts:greekLit:tlg0062,Lucian of Samosata,Hippias
urn:cts:greekLit:tlg0062.tlg003,urn:cts:greekLit:tlg0062,Lucian of Samosata,Bacchus
urn:cts:greekLit:tlg0062.tlg004,urn:cts:greekLit:tlg0062,Lucian of Samosata,Hercules
urn:cts:greekLit:tlg0062.tlg005,urn:cts:greekLit:tlg0062,Lucian of Samosata,Electrum
urn:cts:greekLit:tlg0062.tlg006,urn:cts:greekLit:tlg0062,Lucian of Samosata,Muscae Encomium
urn:cts:greekLit:tlg0062.tlg007,urn:cts:greekLit:tlg0062,Lucian of Samosata,Nigrinus
urn:cts:greekLit:tlg0062.tlg008,urn:cts:greekLit:tlg0062,Lucian of Samosata,Demonax
urn:cts:greekLit:tlg0062.tlg009,urn:cts:greekLit:tlg0062,Lucian of Samosata,De Domo
urn:cts:greekLit:tlg0062.tlg010,urn:cts:greekLit:tlg0062,Lucian of Samosata,Patriae encomium
urn:cts:greekLit:tlg0062.tlg011,urn:cts:greekLit:tlg0062,Lucian of Samosata,Macrobii
urn:cts:greekLit:tlg0062.tlg012,urn:cts:greekLit:tlg0062,Lucian of Samosata,Verae historiae
urn:cts:greekLit:tlg0062.tlg013,urn:cts:greekLit:tlg0062,Lucian of Samosata,Calumniae non temere credundum
urn:cts:greekLit:tlg0062.tlg014,urn:cts:greekLit:tlg0062,Lucian of Samosata,Judicium vocalium
urn:cts:greekLit:tlg0062.tlg015,urn:cts:greekLit:tlg0062,Lucian of Samosata,Symposium
urn:cts:greekLit:tlg0062.tlg016,urn:cts:greekLit:tlg0062,Lucian of Samosata,Cataplus
urn:cts:greekLit:tlg0062.tlg017,urn:cts:greekLit:tlg0062,Lucian of Samosata,Juppiter Confutatus
urn:cts:greekLit:tlg0062.tlg018,urn:cts:greekLit:tlg0062,Lucian of Samosata,Juppiter Tragoedus
urn:cts:greekLit:tlg0062.tlg019,urn:cts:greekLit:tlg0062,Lucian of Samosata,Gallus
urn:cts:greekLit:tlg0062.tlg020,urn:cts:greekLit:tlg0062,Lucian of Samosata,Prometheus
urn:cts:greekLit:tlg0062.tlg021,urn:cts:greekLit:tlg0062,Lucian of Samosata,Icaromenippus
urn:cts:greekLit:tlg0062.tlg022,urn:cts:greekLit:tlg0062,Lucian of Samosata,Timon
urn:cts:greekLit:tlg0062.tlg023,urn:cts:greekLit:tlg0062,Lucian of Samosata,Contemplantes
urn:cts:greekLit:tlg0062.tlg024,urn:cts:greekLit:tlg0062,Lucian of Samosata,Vitarum auctio
urn:cts:greekLit:tlg0062.tlg025,urn:cts:greekLit:tlg0062,Lucian of Samosata,Piscator
urn:cts:greekLit:tlg0062.tlg026,urn:cts:greekLit:tlg0062,Lucian of Samosata,Bis accusatus sive tribunalia
urn:cts:greekLit:tlg0062.tlg027,urn:cts:greekLit:tlg0062,Lucian of Samosata,De Sacrificiis
urn:cts:greekLit:tlg0062.tlg028,urn:cts:greekLit:tlg0062,Lucian of Samosata,Adversus indoctum et libros multos ementem
urn:cts:greekLit:tlg0062.tlg029,urn:cts:greekLit:tlg0062,Lucian of Samosata,Somnium sive vita Luciani
urn:cts:greekLit:tlg0062.tlg030,urn:cts:greekLit:tlg0062,Lucian of Samosata,De parasito sive artem esse parasiticam
urn:cts:greekLit:tlg0062.tlg031,urn:cts:greekLit:tlg0062,Lucian of Samosata,Philopseudes sive incredulus
urn:cts:greekLit:tlg0062.tlg032,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dearum judicium
urn:cts:greekLit:tlg0062.tlg033,urn:cts:greekLit:tlg0062,Lucian of Samosata,De mercede
urn:cts:greekLit:tlg0062.tlg034,urn:cts:greekLit:tlg0062,Lucian of Samosata,Anacharsis
urn:cts:greekLit:tlg0062.tlg035,urn:cts:greekLit:tlg0062,Lucian of Samosata,Necyomantia
urn:cts:greekLit:tlg0062.tlg036,urn:cts:greekLit:tlg0062,Lucian of Samosata,De luctu
urn:cts:greekLit:tlg0062.tlg037,urn:cts:greekLit:tlg0062,Lucian of Samosata,Rhetorum praeceptor
urn:cts:greekLit:tlg0062.tlg038,urn:cts:greekLit:tlg0062,Lucian of Samosata,Alexander
urn:cts:greekLit:tlg0062.tlg039,urn:cts:greekLit:tlg0062,Lucian of Samosata,Imagines
urn:cts:greekLit:tlg0062.tlg040,urn:cts:greekLit:tlg0062,Lucian of Samosata,Pro imaginibus
urn:cts:greekLit:tlg0062.tlg041,urn:cts:greekLit:tlg0062,Lucian of Samosata,De Syria dea
urn:cts:greekLit:tlg0062.tlg042,urn:cts:greekLit:tlg0062,Lucian of Samosata,De Morte Peregrini
urn:cts:greekLit:tlg0062.tlg043,urn:cts:greekLit:tlg0062,Lucian of Samosata,Fugitivi
urn:cts:greekLit:tlg0062.tlg044,urn:cts:greekLit:tlg0062,Lucian of Samosata,Toxaris vel amicitia
urn:cts:greekLit:tlg0062.tlg045,urn:cts:greekLit:tlg0062,Lucian of Samosata,De saltatione
urn:cts:greekLit:tlg0062.tlg046,urn:cts:greekLit:tlg0062,Lucian of Samosata,Lexiphanes
urn:cts:greekLit:tlg0062.tlg047,urn:cts:greekLit:tlg0062,Lucian of Samosata,Eunuchus
urn:cts:greekLit:tlg0062.tlg048,urn:cts:greekLit:tlg0062,Lucian of Samosata,De astrologia
urn:cts:greekLit:tlg0062.tlg049,urn:cts:greekLit:tlg0062,Lucian of Samosata,Pseudologista
urn:cts:greekLit:tlg0062.tlg050,urn:cts:greekLit:tlg0062,Lucian of Samosata,Deorum concilium
urn:cts:greekLit:tlg0062.tlg051,urn:cts:greekLit:tlg0062,Lucian of Samosata,Tyrannicida
urn:cts:greekLit:tlg0062.tlg052,urn:cts:greekLit:tlg0062,Lucian of Samosata,Abdicatus
urn:cts:greekLit:tlg0062.tlg053,urn:cts:greekLit:tlg0062,Lucian of Samosata,Quomodo historia conscribenda sit
urn:cts:greekLit:tlg0062.tlg054,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dipsades
urn:cts:greekLit:tlg0062.tlg055,urn:cts:greekLit:tlg0062,Lucian of Samosata,Saturnalia
urn:cts:greekLit:tlg0062.tlg056,urn:cts:greekLit:tlg0062,Lucian of Samosata,Herodotus
urn:cts:greekLit:tlg0062.tlg057,urn:cts:greekLit:tlg0062,Lucian of Samosata,Zeuxis
urn:cts:greekLit:tlg0062.tlg058,urn:cts:greekLit:tlg0062,Lucian of Samosata,Pro lapsu inter salutandum
urn:cts:greekLit:tlg0062.tlg059,urn:cts:greekLit:tlg0062,Lucian of Samosata,Apologia
urn:cts:greekLit:tlg0062.tlg060,urn:cts:greekLit:tlg0062,Lucian of Samosata,Harmonides
urn:cts:greekLit:tlg0062.tlg061,urn:cts:greekLit:tlg0062,Lucian of Samosata,Hesiod
urn:cts:greekLit:tlg0062.tlg062,urn:cts:greekLit:tlg0062,Lucian of Samosata,Scytha
urn:cts:greekLit:tlg0062.tlg063,urn:cts:greekLit:tlg0062,Lucian of Samosata,Hermotimus
urn:cts:greekLit:tlg0062.tlg064,urn:cts:greekLit:tlg0062,Lucian of Samosata,Prometheus es in verbis
urn:cts:greekLit:tlg0062.tlg065,urn:cts:greekLit:tlg0062,Lucian of Samosata,Navigium
urn:cts:greekLit:tlg0062.tlg066,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dialogi mortuorum
urn:cts:greekLit:tlg0062.tlg067,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dialogi Marini
urn:cts:greekLit:tlg0062.tlg068,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dialogi deorum
urn:cts:greekLit:tlg0062.tlg069,urn:cts:greekLit:tlg0062,Lucian of Samosata,Dialogi meretricii
urn:cts:greekLit:tlg0062.tlg070,urn:cts:greekLit:tlg0062,Lucian of Samosata,Soleocista
urn:cts:greekLit:tlg0062.tlg071,urn:cts:greekLit:tlg0062,Lucian of Samosata,Podagra
urn:cts:greekLit:tlg0064.tlg001,urn:cts:greekLit:tlg0064,Hanno,Periplus Hannonis
urn:cts:greekLit:tlg0065.tlg001,urn:cts:greekLit:tlg0065,Scylax of Caryanda,Periplus Scylacis
urn:cts:greekLit:tlg0066.tlg001,urn:cts:greekLit:tlg0066,"Heraclides, Criticus",Descriptio Graeciae
urn:cts:greekLit:tlg0067.tlg001,urn:cts:greekLit:tlg0067,Agatharchides,De Rubro Mari
urn:cts:greekLit:tlg0068.tlg001,urn:cts:greekLit:tlg0068,Pseudo-Scymnus,"Ad Nicomedem regem, vv. 1-980"
urn:cts:greekLit:tlg0069.tlg001,urn:cts:greekLit:tlg0069,"Dionysius, Calliphontis",Descriptio Graeciae
urn:cts:greekLit:tlg0070.tlg001,urn:cts:greekLit:tlg0070,"Isidore, of Charax",Mansiones Parthicae
urn:cts:greekLit:tlg0071.tlg001,urn:cts:greekLit:tlg0071,Pseudo-Arrianus,"Anonymi (Arriani, ut fertur) periplus maris Erythraei"
urn:cts:greekLit:tlg0074.tlg001,urn:cts:greekLit:tlg0074,Arrian,Ἀλεξάνδρου Ἀνάβασις
urn:cts:greekLit:tlg0074.tlg002,urn:cts:greekLit:tlg0074,Arrian,Indica
urn:cts:greekLit:tlg0074.tlg003,urn:cts:greekLit:tlg0074,Arrian,Cynegeticus
urn:cts:greekLit:tlg0074.tlg004,urn:cts:greekLit:tlg0074,Arrian,Periplus Ponti Euxini
urn:cts:greekLit:tlg0074.tlg005,urn:cts:greekLit:tlg0074,Arrian,Tactica
urn:cts:greekLit:tlg0074.tlg006,urn:cts:greekLit:tlg0074,Arrian,Acies Contra Alanos
urn:cts:greekLit:tlg0074.tlg008,urn:cts:greekLit:tlg0074,Arrian,Epistula ad Lucium Gellium
urn:cts:greekLit:tlg0075.tlg001,urn:cts:greekLit:tlg0075,Pseudo-Arrianus,"Anonymi (Arriani, ut fertur) periplus ponti Euxini"
urn:cts:greekLit:tlg0077.tlg001,urn:cts:greekLit:tlg0077,Stadiasmus Magni Maris,Stadiasmus Magni Maris
urn:cts:greekLit:tlg0081.tlg001,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,Antiquitates Romanae
urn:cts:greekLit:tlg0081.tlg002,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De antiquis oratoribus
urn:cts:greekLit:tlg0081.tlg003,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Lysia
urn:cts:greekLit:tlg0081.tlg004,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Isocrate
urn:cts:greekLit:tlg0081.tlg005,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Isaeo
urn:cts:greekLit:tlg0081.tlg006,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Demosthene
urn:cts:greekLit:tlg0081.tlg007,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,Libri secundi de antiquis oratoribus reliquiae
urn:cts:greekLit:tlg0081.tlg008,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,Ad Ammaeum
urn:cts:greekLit:tlg0081.tlg009,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Dinarcho
urn:cts:greekLit:tlg0081.tlg010,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Thucydide
urn:cts:greekLit:tlg0081.tlg011,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Thucydidis idiomatibus
urn:cts:greekLit:tlg0081.tlg012,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De Compositione Verborum
urn:cts:greekLit:tlg0081.tlg013,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De compositione verborum (epitome)
urn:cts:greekLit:tlg0081.tlg014,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,De imitatione (fragmenta)
urn:cts:greekLit:tlg0081.tlg015,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,Epistula ad Pompeium Geminum
urn:cts:greekLit:tlg0081.tlg016,urn:cts:greekLit:tlg0081,Dionysius of Halicarnassus,Ars Rhetorica
urn:cts:greekLit:tlg0082.tlg001,urn:cts:greekLit:tlg0082,Apollonius Dyscolus,De pronominibus
urn:cts:greekLit:tlg0082.tlg002,urn:cts:greekLit:tlg0082,Apollonius Dyscolus,De adverbiis
urn:cts:greekLit:tlg0082.tlg003,urn:cts:greekLit:tlg0082,Apollonius Dyscolus,De Conjuctionibus
urn:cts:greekLit:tlg0082.tlg004,urn:cts:greekLit:tlg0082,Apollonius Dyscolus,De constructione
urn:cts:greekLit:tlg0083.tlg003,urn:cts:greekLit:tlg0083,Dionysius of Byzantium,De Bospori Navigatione
urn:cts:greekLit:tlg0084.tlg001,urn:cts:greekLit:tlg0084,Dionysius Periegetes,Orbis Descriptio
urn:cts:greekLit:tlg0085.tlg001,urn:cts:greekLit:tlg0085,Aeschylus,Supplices
urn:cts:greekLit:tlg0085.tlg002,urn:cts:greekLit:tlg0085,Aeschylus,Persians
urn:cts:greekLit:tlg0085.tlg003,urn:cts:greekLit:tlg0085,Aeschylus,Prometheus Bound
urn:cts:greekLit:tlg0085.tlg004,urn:cts:greekLit:tlg0085,Aeschylus,Seven Against Thebes
urn:cts:greekLit:tlg0085.tlg005,urn:cts:greekLit:tlg0085,Aeschylus,Agamemnon
urn:cts:greekLit:tlg0085.tlg006,urn:cts:greekLit:tlg0085,Aeschylus,Libation Bearers
urn:cts:greekLit:tlg0085.tlg007,urn:cts:greekLit:tlg0085,Aeschylus,Eumenides
urn:cts:greekLit:tlg0086.tlg001,urn:cts:greekLit:tlg0086,Aristotle,Analytica priora
urn:cts:greekLit:tlg0086.tlg002,urn:cts:greekLit:tlg0086,Aristotle,De anima
urn:cts:greekLit:tlg0086.tlg003,urn:cts:greekLit:tlg0086,Aristotle,Constitution of the Athenians
urn:cts:greekLit:tlg0086.tlg004,urn:cts:greekLit:tlg0086,Aristotle,De audibilibus
urn:cts:greekLit:tlg0086.tlg005,urn:cts:greekLit:tlg0086,Aristotle,De caelo
urn:cts:greekLit:tlg0086.tlg006,urn:cts:greekLit:tlg0086,Aristotle,Categoriae
urn:cts:greekLit:tlg0086.tlg007,urn:cts:greekLit:tlg0086,Aristotle,De coloribus
urn:cts:greekLit:tlg0086.tlg008,urn:cts:greekLit:tlg0086,Aristotle,De divinatione per somnum
urn:cts:greekLit:tlg0086.tlg009,urn:cts:greekLit:tlg0086,Aristotle,Eudemian Ethics
urn:cts:greekLit:tlg0086.tlg010,urn:cts:greekLit:tlg0086,Aristotle,Nicomachean Ethics
urn:cts:greekLit:tlg0086.tlg011,urn:cts:greekLit:tlg0086,Aristotle,Epistulae
urn:cts:greekLit:tlg0086.tlg012,urn:cts:greekLit:tlg0086,Aristotle,De Generatione Animalium
urn:cts:greekLit:tlg0086.tlg013,urn:cts:greekLit:tlg0086,Aristotle,De generatione et corruptione
urn:cts:greekLit:tlg0086.tlg014,urn:cts:greekLit:tlg0086,Aristotle,Historia animalium
urn:cts:greekLit:tlg0086.tlg015,urn:cts:greekLit:tlg0086,Aristotle,De animalium incessu
urn:cts:greekLit:tlg0086.tlg016,urn:cts:greekLit:tlg0086,Aristotle,De insomniis
urn:cts:greekLit:tlg0086.tlg017,urn:cts:greekLit:tlg0086,Aristotle,De interpretatione
urn:cts:greekLit:tlg0086.tlg018,urn:cts:greekLit:tlg0086,Aristotle,"De iuventute et senectute, De vita et morte"
urn:cts:greekLit:tlg0086.tlg019,urn:cts:greekLit:tlg0086,Aristotle,De lineis insecabilibus
urn:cts:greekLit:tlg0086.tlg020,urn:cts:greekLit:tlg0086,Aristotle,De longitudine et brevitate vitae
urn:cts:greekLit:tlg0086.tlg021,urn:cts:greekLit:tlg0086,Aristotle,De animalium motione
urn:cts:greekLit:tlg0086.tlg022,urn:cts:greekLit:tlg0086,Aristotle,Magna Moralia
urn:cts:greekLit:tlg0086.tlg023,urn:cts:greekLit:tlg0086,Aristotle,Mechanica
urn:cts:greekLit:tlg0086.tlg024,urn:cts:greekLit:tlg0086,Aristotle,De memoria et reminiscentia
urn:cts:greekLit:tlg0086.tlg025,urn:cts:greekLit:tlg0086,Aristotle,Metaphysics
urn:cts:greekLit:tlg0086.tlg026,urn:cts:greekLit:tlg0086,Aristotle,Meteorologica
urn:cts:greekLit:tlg0086.tlg027,urn:cts:greekLit:tlg0086,Aristotle,Mirabilium auscultationes
urn:cts:greekLit:tlg0086.tlg029,urn:cts:greekLit:tlg0086,Aristotle,Economics
urn:cts:greekLit:tlg0086.tlg030,urn:cts:greekLit:tlg0086,Aristotle,De partibus animalium
